,County Name,State,Household Median Income,Family's Median Income,Total Population,State Code,County Code,State Abbr
2882,Dickenson,Virginia,29932,42622,14756,51,051,VA
2883,Halifax,Virginia,42669,59179,34552,51,083,VA
2884,Loudoun,Virginia,142299,160182,395134,51,107,VA
2885,Prince William,Virginia,107132,118142,461423,51,153,VA
2886,Southampton,Virginia,61348,72166,17880,51,175,VA
2887,Highland,Virginia,48587,55391,2204,51,091,VA
2888,Caroline,Virginia,65103,77039,30381,51,033,VA
2889,Gloucester,Virginia,70537,84462,37222,51,073,VA
2890,Patrick,Virginia,43073,59897,17748,51,141,VA
2891,Powhatan,Virginia,89090,100216,28815,51,145,VA
2892,Shenandoah,Virginia,57252,68835,43224,51,171,VA
2893,Fauquier,Virginia,100783,121376,69728,51,061,VA
2894,Staunton city,Virginia,52611,71182,24432,51,790,VA
2895,Fluvanna,Virginia,76873,91310,26594,51,065,VA
2896,Radford city,Virginia,36297,65969,17691,51,750,VA
2897,Winchester city,Virginia,58818,69358,27897,51,840,VA
2898,Accomack,Virginia,46073,57711,32673,51,001,VA
2899,Craig,Virginia,55708,78787,5110,51,045,VA
2900,Floyd,Virginia,51521,62428,15704,51,063,VA
2901,Giles,Virginia,54520,61638,16772,51,071,VA
2902,Grayson,Virginia,36544,49787,15742,51,077,VA
2903,Nottoway,Virginia,45535,56807,15433,51,135,VA
2904,Rappahannock,Virginia,74284,97895,7378,51,157,VA
2905,Charles City,Virginia,57198,76000,7014,51,036,VA
2906,Culpeper,Virginia,77935,89760,51101,51,047,VA
2907,Dinwiddie,Virginia,60346,74674,28485,51,053,VA
2908,Greene,Virginia,67398,76454,19519,51,079,VA
2909,Hanover,Virginia,89390,105061,105537,51,085,VA
2910,Lunenburg,Virginia,44303,53079,12282,51,111,VA
2911,Orange,Virginia,71548,83482,36010,51,137,VA
2912,Emporia city,Virginia,27063,36771,5442,51,595,VA
2913,Wythe,Virginia,49364,61991,28844,51,197,VA
2914,Chesapeake city,Virginia,78640,90552,239982,51,550,VA
2915,Harrisonburg city,Virginia,46679,63410,53273,51,660,VA
2916,Albemarle,Virginia,79880,103077,107405,51,003,VA
2917,Bedford,Virginia,64199,76536,78376,51,019,VA
2918,Buckingham,Virginia,49025,59040,17059,51,029,VA
2919,Wise,Virginia,38888,50302,38486,51,195,VA
2920,Covington city,Virginia,40655,57614,5598,51,580,VA
2921,Portsmouth city,Virginia,52175,61368,95097,51,740,VA
2922,Virginia Beach city,Virginia,76610,88553,450201,51,810,VA
2923,Alleghany,Virginia,47673,58933,15157,51,005,VA
2924,Galax city,Virginia,33575,40972,6517,51,640,VA
2925,Westmoreland,Virginia,53853,73633,17751,51,193,VA
2926,Northumberland,Virginia,62632,71203,12190,51,133,VA
2927,Pulaski,Virginia,53866,64173,34182,51,155,VA
2928,Warren,Virginia,69116,83884,39492,51,187,VA
2929,Danville city,Virginia,37203,47562,41070,51,590,VA
2930,Fredericksburg city,Virginia,65641,85154,28622,51,630,VA
2931,Amherst,Virginia,52888,70552,31775,51,009,VA
2932,Bath,Virginia,49738,65710,4307,51,017,VA
2933,Hopewell city,Virginia,39030,46871,22456,51,670,VA
2934,Newport News city,Virginia,53215,64874,179673,51,700,VA
2935,Frederick,Virginia,78002,88414,86415,51,069,VA
2936,Lynchburg city,Virginia,46409,61870,80569,51,680,VA
2937,York,Virginia,92069,105961,67982,51,199,VA
2938,Martinsville city,Virginia,34371,44714,12852,51,690,VA
2939,Nelson,Virginia,64313,78043,14831,51,125,VA
2940,Pittsylvania,Virginia,47690,57266,61256,51,143,VA
2941,Buena Vista city,Virginia,32455,37574,6484,51,530,VA
2942,Falls Church city,Virginia,127610,173021,14128,51,610,VA
2943,Petersburg city,Virginia,38679,46925,31362,51,730,VA
2944,Poquoson city,Virginia,97118,109505,12090,51,735,VA
2945,Fairfax city,Virginia,116979,142000,23531,51,600,VA
2946,Waynesboro city,Virginia,45011,61311,22140,51,820,VA
2947,Roanoke city,Virginia,44230,54633,99229,51,770,VA
2948,Suffolk city,Virginia,74884,87049,90093,51,800,VA
2949,Norfolk city,Virginia,51590,62016,244601,51,710,VA
2950,Amelia,Virginia,57946,81848,12953,51,007,VA
2951,Chesterfield,Virginia,82599,95718,343551,51,041,VA
2952,Fairfax,Virginia,124831,144687,1145862,51,059,VA
2953,Thurston,Washington,72003,85870,279711,53,067,WA
2954,Columbia,Washington,53423,85021,3992,53,013,WA
2955,Klickitat,Washington,55773,66990,21721,53,039,WA
2956,Grays Harbor,Washington,51240,65409,72779,53,027,WA
2957,Wahkiakum,Washington,53227,66292,4268,53,069,WA
2958,Grant,Washington,55556,63644,95502,53,025,WA
2959,Snohomish,Washington,86691,101467,798808,53,061,WA
2960,Asotin,Washington,53715,67772,22421,53,003,WA
2961,Adams,Washington,48294,56436,19594,53,001,WA
2962,Garfield,Washington,55900,70278,2230,53,023,WA
2963,Mason,Washington,57634,69226,63804,53,045,WA
2964,Skagit,Washington,67028,78153,125612,53,057,WA
2965,Stevens,Washington,51775,64046,44655,53,065,WA
2966,Spokane,Washington,56904,73838,505505,53,063,WA
2967,Lincoln,Washington,54631,62354,10574,53,043,WA
2968,Chelan,Washington,58795,68728,76229,53,007,WA
2969,Jefferson,Washington,55127,66480,31285,53,031,WA
2970,Kitsap,Washington,75411,89107,265882,53,035,WA
2971,King,Washington,94974,118292,2195502,53,033,WA
2972,Pacific,Washington,46733,61389,21688,53,049,WA
2973,Pend Oreille,Washington,50591,60149,13377,53,051,WA
2974,San Juan,Washington,63622,80566,16788,53,055,WA
2975,Skamania,Washington,65181,74643,11753,53,059,WA
2976,Whitman,Washington,42745,71743,49231,53,075,WA
2977,Yakima,Washington,51637,59298,249697,53,077,WA
2978,Clallam,Washington,52192,68916,75392,53,009,WA
2979,Cowlitz,Washington,54506,68419,106778,53,015,WA
2980,Ferry,Washington,41939,56850,7578,53,019,WA
2981,Lewis,Washington,53484,66826,78145,53,041,WA
2982,Douglas,Washington,62951,70214,42023,53,017,WA
2983,Island,Washington,68604,77250,82866,53,029,WA
2984,Pierce,Washington,72113,84373,877013,53,053,WA
2985,Franklin,Washington,63584,68150,92009,53,021,WA
2986,Walla Walla,Washington,57858,72479,60365,53,071,WA
2987,Whatcom,Washington,62984,81150,220821,53,073,WA
2988,Okanogan,Washington,47240,54667,41842,53,047,WA
2989,Kittitas,Washington,56004,77228,45897,53,037,WA
2990,Benton,Washington,69023,81215,197518,53,005,WA
2991,Clark,Washington,75253,86832,473252,53,011,WA
2992,Summers,West Virginia,38187,49023,12848,54,089,WV
2993,Greenbrier,West Virginia,40200,51302,35155,54,025,WV
2994,Mineral,West Virginia,49936,61767,27167,54,057,WV
2995,Lewis,West Virginia,39908,52266,16166,54,041,WV
2996,Pocahontas,West Virginia,41882,55544,8450,54,075,WV
2997,Randolph,West Virginia,43320,56589,28930,54,083,WV
2998,Wirt,West Virginia,46048,55100,5798,54,105,WV
2999,Clay,West Virginia,35024,45515,8709,54,015,WV
3000,Monongalia,West Virginia,52455,79486,105474,54,061,WV
3001,Wetzel,West Virginia,43107,52412,15436,54,103,WV
3002,Kanawha,West Virginia,46639,62020,183279,54,039,WV
3003,Preston,West Virginia,51888,65625,33683,54,077,WV
3004,Ritchie,West Virginia,43577,51739,9844,54,085,WV
3005,Lincoln,West Virginia,42345,48968,20850,54,043,WV
3006,Braxton,West Virginia,41466,49503,14190,54,007,WV
3007,Boone,West Virginia,40739,49030,22368,54,005,WV
3008,Wyoming,West Virginia,42332,50613,21281,54,109,WV
3009,Grant,West Virginia,42216,59205,11616,54,023,WV
3010,Hampshire,West Virginia,47857,55133,23309,54,027,WV
3011,Brooke,West Virginia,51496,66335,22459,54,009,WV
3012,Doddridge,West Virginia,45545,61964,8560,54,017,WV
3013,Hardy,West Virginia,47438,53672,13805,54,031,WV
3014,Marion,West Virginia,50305,63027,56355,54,049,WV
3015,Mingo,West Virginia,32764,43991,24290,54,059,WV
3016,Hancock,West Virginia,45763,59205,29383,54,029,WV
3017,Marshall,West Virginia,48557,60347,31308,54,051,WV
3018,Nicholas,West Virginia,40086,48868,25078,54,067,WV
3019,Tucker,West Virginia,49118,57721,6982,54,093,WV
3020,Tyler,West Virginia,43087,57059,8811,54,095,WV
3021,Roane,West Virginia,37373,49640,14020,54,087,WV
3022,Taylor,West Virginia,48578,61727,16864,54,091,WV
3023,Wood,West Virginia,47321,60396,84960,54,107,WV
3024,Gilmer,West Virginia,42636,56106,8041,54,021,WV
3025,Mason,West Virginia,46078,55289,26820,54,053,WV
3026,Monroe,West Virginia,38540,50755,13401,54,063,WV
3027,Pleasants,West Virginia,56838,71055,7482,54,073,WV
3028,Cabell,West Virginia,40028,57821,94339,54,011,WV
3029,Jefferson,West Virginia,80430,97831,56506,54,037,WV
3030,Logan,West Virginia,36168,48063,33154,54,045,WV
3031,Pendleton,West Virginia,42312,48822,7001,54,071,WV
3032,Harrison,West Virginia,53022,69920,67908,54,033,WV
3033,Ohio,West Virginia,50584,71777,42143,54,069,WV
3034,Calhoun,West Virginia,38382,45840,7295,54,013,WV
3035,Morgan,West Virginia,51745,63980,17709,54,065,WV
3036,Raleigh,West Virginia,43748,55787,75252,54,081,WV
3037,Putnam,West Virginia,60097,73878,56610,54,079,WV
3038,Barbour,West Virginia,38459,52177,16633,54,001,WV
3039,McDowell,West Virginia,27682,31929,18661,54,047,WV
3040,Wayne,West Virginia,37988,52390,40303,54,099,WV
3041,Jackson,West Virginia,47837,63132,28907,54,035,WV
3042,Mercer,West Virginia,40784,51604,59919,54,055,WV
3043,Upshur,West Virginia,40322,55266,24502,54,097,WV
3044,Webster,West Virginia,34927,45893,8386,54,101,WV
3045,Berkeley,West Virginia,62515,72756,115329,54,003,WV
3046,Fayette,West Virginia,41394,51749,43576,54,019,WV
3047,Dunn,Wisconsin,58783,73847,44759,55,033,WI
3048,Grant,Wisconsin,54800,69698,51733,55,043,WI
3049,Sheboygan,Wisconsin,60696,75883,115178,55,117,WI
3050,Menominee,Wisconsin,40921,44323,4558,55,078,WI
3051,Buffalo,Wisconsin,57829,69345,13126,55,011,WI
3052,La Crosse,Wisconsin,57882,79266,117894,55,063,WI
3053,Marathon,Wisconsin,62633,76663,135396,55,073,WI
3054,Trempealeau,Wisconsin,58548,71962,29499,55,121,WI
3055,Dodge,Wisconsin,60652,75040,87715,55,027,WI
3056,Vilas,Wisconsin,47072,59467,21751,55,125,WI
3057,Manitowoc,Wisconsin,56612,72611,79185,55,071,WI
3058,Burnett,Wisconsin,52672,61899,15289,55,013,WI
3059,Door,Wisconsin,61560,74066,27472,55,029,WI
3060,Fond du Lac,Wisconsin,62391,78200,102597,55,039,WI
3061,Pepin,Wisconsin,54583,70791,7265,55,091,WI
3062,Richland,Wisconsin,51947,63861,17459,55,103,WI
3063,Waushara,Wisconsin,52810,64721,24193,55,137,WI
3064,Lafayette,Wisconsin,60691,70313,16715,55,065,WI
3065,Pierce,Wisconsin,72323,89940,41977,55,093,WI
3066,Calumet,Wisconsin,75814,90678,49928,55,015,WI
3067,Kenosha,Wisconsin,63733,78903,168524,55,059,WI
3068,Iron,Wisconsin,43798,57326,5687,55,051,WI
3069,Clark,Wisconsin,54012,64571,34579,55,019,WI
3070,St. Croix,Wisconsin,84756,98709,88732,55,109,WI
3071,Oconto,Wisconsin,60908,72190,37646,55,083,WI
3072,Lincoln,Wisconsin,58541,73289,27744,55,069,WI
3073,Waupaca,Wisconsin,58693,72971,51245,55,135,WI
3074,Barron,Wisconsin,52703,66564,45229,55,005,WI
3075,Sawyer,Wisconsin,47714,60606,16399,55,113,WI
3076,Green Lake,Wisconsin,55075,69265,18755,55,047,WI
3077,Price,Wisconsin,47956,59824,13416,55,099,WI
3078,Marquette,Wisconsin,52288,64131,15304,55,077,WI
3079,Marinette,Wisconsin,50330,60909,40391,55,075,WI
3080,Milwaukee,Wisconsin,50606,65002,951226,55,079,WI
3081,Racine,Wisconsin,61336,77118,195602,55,101,WI
3082,Winnebago,Wisconsin,58543,77242,170411,55,139,WI
3083,Forest,Wisconsin,45536,54851,8995,55,041,WI
3084,Green,Wisconsin,64502,79869,36896,55,045,WI
3085,Rusk,Wisconsin,47532,58160,14132,55,107,WI
3086,Shawano,Wisconsin,56531,68720,40904,55,115,WI
3087,Langlade,Wisconsin,49491,62143,19146,55,067,WI
3088,Outagamie,Wisconsin,65572,82196,185700,55,087,WI
3089,Vernon,Wisconsin,52459,66102,30633,55,123,WI
3090,Columbia,Wisconsin,68005,83177,57133,55,021,WI
3091,Kewaunee,Wisconsin,66192,80836,20387,55,061,WI
3092,Brown,Wisconsin,62340,80974,261368,55,009,WI
3093,Eau Claire,Wisconsin,59476,79077,103514,55,035,WI
3094,Oneida,Wisconsin,56852,72509,35381,55,085,WI
3095,Polk,Wisconsin,59994,71766,43438,55,095,WI
3096,Washburn,Wisconsin,50280,65750,15688,55,129,WI
3097,Waukesha,Wisconsin,87277,108123,400475,55,133,WI
3098,Walworth,Wisconsin,63776,79681,103074,55,127,WI
3099,Crawford,Wisconsin,50595,65804,16235,55,023,WI
3100,Juneau,Wisconsin,53490,64378,26478,55,057,WI
3101,Sauk,Wisconsin,59943,73964,63922,55,111,WI
3102,Washington,Wisconsin,77663,94477,134925,55,131,WI
3103,Chippewa,Wisconsin,59742,72532,63892,55,017,WI
3104,Dane,Wisconsin,73893,100051,536078,55,025,WI
3105,Douglas,Wisconsin,53986,68634,43295,55,031,WI
3106,Jackson,Wisconsin,53650,69195,20522,55,053,WI
3107,Iowa,Wisconsin,64124,81430,23618,55,049,WI
3108,Ozaukee,Wisconsin,85215,103900,88597,55,089,WI
3109,Portage,Wisconsin,58853,79411,70632,55,097,WI
3110,Rock,Wisconsin,57875,70070,162152,55,105,WI
3111,Taylor,Wisconsin,53020,65820,20325,55,119,WI
3112,Adams,Wisconsin,46369,58039,20094,55,001,WI
3113,Bayfield,Wisconsin,56096,66273,14993,55,007,WI
3114,Monroe,Wisconsin,59587,71674,45771,55,081,WI
3115,Wood,Wisconsin,54913,69790,73112,55,141,WI
3116,Ashland,Wisconsin,42510,59545,15617,55,003,WI
3117,Florence,Wisconsin,52181,64375,4314,55,037,WI
3118,Jefferson,Wisconsin,66291,79081,84701,55,055,WI
3119,Laramie,Wyoming,66910,79914,98320,56,021,WY
3120,Teton,Wyoming,84678,110667,23280,56,039,WY
3121,Johnson,Wyoming,58132,76033,8487,56,019,WY
3122,Platte,Wyoming,50903,67743,8582,56,031,WY
3123,Sheridan,Wyoming,60807,81833,30140,56,033,WY
3124,Big Horn,Wyoming,52804,64393,11882,56,003,WY
3125,Crook,Wyoming,65132,80066,7472,56,011,WY
3126,Park,Wyoming,63582,74556,29148,56,029,WY
3127,Albany,Wyoming,49322,80016,38390,56,001,WY
3128,Carbon,Wyoming,60161,72747,15247,56,007,WY
3129,Goshen,Wyoming,54289,64963,13342,56,015,WY
3130,Uinta,Wyoming,63403,77725,20479,56,041,WY
3131,Washakie,Wyoming,54158,68265,8027,56,043,WY
3132,Hot Springs,Wyoming,51413,76250,4607,56,017,WY
3133,Fremont,Wyoming,55896,69198,39812,56,013,WY
3134,Sublette,Wyoming,77403,81469,9880,56,035,WY
3135,Weston,Wyoming,57031,78083,7049,56,045,WY
3136,Campbell,Wyoming,82659,89087,47409,56,005,WY
3137,Lincoln,Wyoming,66964,81752,19274,56,023,WY
3138,Natrona,Wyoming,62772,77456,80333,56,025,WY
3139,Converse,Wyoming,69647,82156,13921,56,009,WY
3140,Niobrara,Wyoming,39150,45417,2422,56,027,WY
3141,Sweetwater,Wyoming,74843,87906,43521,56,037,WY
